timestamp;tag_name;value
20230721T162426;set-h;-72.0
20230721T162426;set-hh;-70.0
20230721T162427;pv;-83.59
20230721T162427;set-ll;-90.0
20230721T162427;set-l;-88.0
20230721T162427;set-h;-72.0
20230721T162427;set-hh;-70.0
20230721T162428;pv;-83.59
20230721T162428;set-ll;-90.0
20230721T162428;set-l;-88.0
20230721T162428;set-h;-72.0
20230721T162428;set-hh;-70.0
20230721T162429;pv;-83.62
20230721T162429;set-ll;-90.0
20230721T162429;set-l;-88.0
20230721T162429;set-h;-72.0
20230721T162429;set-hh;-70.0
20230721T162430;pv;-83.62
20230721T162430;set-ll;-90.0
20230721T162430;set-l;-88.0
20230721T162430;set-h;-72.0
20230721T162430;set-hh;-70.0
20230721T162431;pv;-83.62
20230721T162431;set-ll;-90.0
20230721T162431;set-l;-88.0
20230721T162431;set-h;-72.0
20230721T162431;set-hh;-70.0
20230721T162432;pv;-83.59
20230721T162432;set-ll;-90.0
20230721T162432;set-l;-88.0
20230721T162432;set-h;-72.0
20230721T162432;set-hh;-70.0
20230721T162433;pv;-83.62
20230721T162433;set-ll;-90.0
20230721T162433;set-l;-88.0
20230721T162433;set-h;-72.0
20230721T162433;set-hh;-70.0
20230721T162434;pv;-83.62
20230721T162434;set-ll;-90.0
20230721T162434;set-l;-88.0
20230721T162434;set-h;-72.0
20230721T162434;set-hh;-70.0
20230721T162435;pv;-83.59
20230721T162435;set-ll;-90.0
20230721T162435;set-l;-88.0
20230721T162435;set-h;-72.0
20230721T162435;set-hh;-70.0
20230721T162436;pv;-83.62
20230721T162436;set-ll;-90.0
20230721T162436;set-l;-88.0
20230721T162436;set-h;-72.0
20230721T162436;set-hh;-70.0
20230721T162437;pv;-83.59
20230721T162437;set-ll;-90.0
20230721T162438;set-l;-88.0
20230721T162438;set-h;-72.0
20230721T162438;set-hh;-70.0
20230721T162439;pv;-83.62
20230721T162439;set-ll;-90.0
20230721T162439;set-l;-88.0
20230721T162439;set-h;-72.0
20230721T162439;set-hh;-70.0
20230721T162440;pv;-83.62
20230721T162440;set-ll;-90.0
20230721T162440;set-l;-88.0
20230721T162440;set-h;-72.0
20230721T162440;set-hh;-70.0
20230721T162441;pv;-83.59
20230721T162441;set-ll;-90.0
20230721T162441;set-l;-88.0
20230721T162441;set-h;-72.0
20230721T162441;set-hh;-70.0
20230721T162442;pv;-83.62
20230721T162442;set-ll;-90.0
20230721T162442;set-l;-88.0
20230721T162442;set-h;-72.0
20230721T162442;set-hh;-70.0
20230721T162443;pv;-83.62
20230721T162443;set-ll;-90.0
20230721T162443;set-l;-88.0
20230721T162443;set-h;-72.0
20230721T162443;set-hh;-70.0
20230721T162444;pv;-83.62
20230721T162444;set-ll;-90.0
20230721T162444;set-l;-88.0
20230721T162444;set-h;-72.0
20230721T162444;set-hh;-70.0
20230721T162445;pv;-83.62
20230721T162445;set-ll;-90.0
20230721T162445;set-l;-88.0
20230721T162445;set-h;-72.0
20230721T162445;set-hh;-70.0
20230721T162446;pv;-83.62
20230721T162446;set-ll;-90.0
20230721T162446;set-l;-88.0
20230721T162446;set-h;-72.0
20230721T162446;set-hh;-70.0
20230721T162447;pv;-83.62
20230721T162447;set-ll;-90.0
20230721T162447;set-l;-88.0
20230721T162447;set-h;-72.0
20230721T162447;set-hh;-70.0
20230721T162448;pv;-83.62
20230721T162448;set-ll;-90.0
20230721T162448;set-l;-88.0
20230721T162448;set-h;-72.0
20230721T162448;set-hh;-70.0
20230721T162449;pv;-83.62
20230721T162449;set-ll;-90.0
20230721T162449;set-l;-88.0
20230721T162449;set-h;-72.0
20230721T162449;set-hh;-70.0
20230721T162450;pv;-83.62
20230721T162450;set-ll;-90.0
20230721T162450;set-l;-88.0
20230721T162450;set-h;-72.0
20230721T162450;set-hh;-70.0
20230721T162451;pv;-83.62
20230721T162451;set-ll;-90.0
20230721T162451;set-l;-88.0
20230721T162451;set-h;-72.0
20230721T162452;set-hh;-70.0
20230721T162453;pv;-83.59
20230721T162453;set-ll;-90.0
20230721T162453;set-l;-88.0
20230721T162453;set-h;-72.0
20230721T162453;set-hh;-70.0
20230721T162454;pv;-83.59
20230721T162454;set-ll;-90.0
20230721T162454;set-l;-88.0
20230721T162454;set-h;-72.0
20230721T162454;set-hh;-70.0
20230721T162455;pv;-83.59
20230721T162455;set-ll;-90.0
20230721T162455;set-l;-88.0
20230721T162455;set-h;-72.0
20230721T162455;set-hh;-70.0
20230721T162456;pv;-83.59
20230721T162456;set-ll;-90.0
20230721T162456;set-l;-88.0
20230721T162456;set-h;-72.0
20230721T162456;set-hh;-70.0
20230721T162457;pv;-83.59
20230721T162457;set-ll;-90.0
20230721T162457;set-l;-88.0
20230721T162457;set-h;-72.0
20230721T162457;set-hh;-70.0
20230721T162458;pv;-83.62
20230721T162458;set-ll;-90.0
20230721T162458;set-l;-88.0
20230721T162458;set-h;-72.0
20230721T162458;set-hh;-70.0
20230721T162459;pv;-83.59
20230721T162459;set-ll;-90.0
20230721T162459;set-l;-88.0
20230721T162459;set-h;-72.0
20230721T162459;set-hh;-70.0
20230721T162500;pv;-83.62
20230721T162500;set-ll;-90.0
20230721T162500;set-l;-88.0
20230721T162500;set-h;-72.0
20230721T162500;set-hh;-70.0
20230721T162501;pv;-83.59
20230721T162501;set-ll;-90.0
20230721T162501;set-l;-88.0
20230721T162501;set-h;-72.0
20230721T162501;set-hh;-70.0
20230721T162502;pv;-83.59
20230721T162502;set-ll;-90.0
20230721T162502;set-l;-88.0
20230721T162502;set-h;-72.0
20230721T162502;set-hh;-70.0
20230721T162503;pv;-83.59
20230721T162503;set-ll;-90.0
20230721T162503;set-l;-88.0
20230721T162503;set-h;-72.0
20230721T162503;set-hh;-70.0
20230721T162504;pv;-83.59
20230721T162504;set-ll;-90.0
20230721T162504;set-l;-88.0
20230721T162504;set-h;-72.0
20230721T162504;set-hh;-70.0
20230721T162506;pv;-83.62
20230721T162506;set-ll;-90.0
20230721T162506;set-l;-88.0
20230721T162506;set-h;-72.0
20230721T162506;set-hh;-70.0
20230721T162507;pv;-83.62
20230721T162507;set-ll;-90.0
20230721T162507;set-l;-88.0
20230721T162507;set-h;-72.0
20230721T162507;set-hh;-70.0
20230721T162508;pv;-83.62
20230721T162508;set-ll;-90.0
20230721T162508;set-l;-88.0
20230721T162508;set-h;-72.0
20230721T162508;set-hh;-70.0
20230721T162509;pv;-83.59
20230721T162509;set-ll;-90.0
20230721T162509;set-l;-88.0
20230721T162509;set-h;-72.0
20230721T162509;set-hh;-70.0
20230721T162510;pv;-83.62
20230721T162510;set-ll;-90.0
20230721T162510;set-l;-88.0
20230721T162510;set-h;-72.0
20230721T162510;set-hh;-70.0
20230721T162511;pv;-83.59
20230721T162511;set-ll;-90.0
20230721T162511;set-l;-88.0
20230721T162511;set-h;-72.0
20230721T162511;set-hh;-70.0
20230721T162512;pv;-83.62
20230721T162512;set-ll;-90.0
20230721T162512;set-l;-88.0
20230721T162512;set-h;-72.0
20230721T162512;set-hh;-70.0
20230721T162513;pv;-83.62
20230721T162513;set-ll;-90.0
20230721T162513;set-l;-88.0
20230721T162513;set-h;-72.0
20230721T162513;set-hh;-70.0
20230721T162514;pv;-83.59
20230721T162514;set-ll;-90.0
20230721T162514;set-l;-88.0
20230721T162514;set-h;-72.0
20230721T162514;set-hh;-70.0
20230721T162515;pv;-83.62
20230721T162515;set-ll;-90.0
20230721T162515;set-l;-88.0
20230721T162515;set-h;-72.0
20230721T162515;set-hh;-70.0
20230721T162516;pv;-83.62
20230721T162516;set-ll;-90.0
20230721T162516;set-l;-88.0
20230721T162516;set-h;-72.0
20230721T162516;set-hh;-70.0
20230721T162517;pv;-83.62
20230721T162517;set-ll;-90.0
20230721T162517;set-l;-88.0
20230721T162517;set-h;-72.0
20230721T162517;set-hh;-70.0
20230721T162518;pv;-83.59
20230721T162518;set-ll;-90.0
20230721T162518;set-l;-88.0
20230721T162518;set-h;-72.0
20230721T162519;set-hh;-70.0
20230721T162520;pv;-83.62
20230721T162520;set-ll;-90.0
20230721T162520;set-l;-88.0
20230721T162520;set-h;-72.0
20230721T162520;set-hh;-70.0
20230721T162521;pv;-83.62
20230721T162521;set-ll;-90.0
20230721T162521;set-l;-88.0
20230721T162521;set-h;-72.0
20230721T162521;set-hh;-70.0
20230721T162522;pv;-83.62
20230721T162522;set-ll;-90.0
20230721T162522;set-l;-88.0
20230721T162522;set-h;-72.0
20230721T162522;set-hh;-70.0
20230721T162523;pv;-83.62
20230721T162523;set-ll;-90.0
20230721T162523;set-l;-88.0
20230721T162523;set-h;-72.0
20230721T162523;set-hh;-70.0
20230721T162524;pv;-83.62
20230721T162524;set-ll;-90.0
20230721T162524;set-l;-88.0
20230721T162524;set-h;-72.0
20230721T162524;set-hh;-70.0
20230721T162525;pv;-83.62
20230721T162525;set-ll;-90.0
20230721T162525;set-l;-88.0
20230721T162525;set-h;-72.0
20230721T162525;set-hh;-70.0
20230721T162526;pv;-83.62
20230721T162526;set-ll;-90.0
20230721T162526;set-l;-88.0
20230721T162526;set-h;-72.0
20230721T162526;set-hh;-70.0
20230721T162527;pv;-83.62
20230721T162527;set-ll;-90.0
20230721T162527;set-l;-88.0
20230721T162527;set-h;-72.0
20230721T162527;set-hh;-70.0
20230721T162528;pv;-83.62
20230721T162528;set-ll;-90.0
20230721T162528;set-l;-88.0
20230721T162528;set-h;-72.0
20230721T162528;set-hh;-70.0
20230721T162529;pv;-83.62
20230721T162529;set-ll;-90.0
20230721T162529;set-l;-88.0
20230721T162529;set-h;-72.0
20230721T162529;set-hh;-70.0
20230721T162530;pv;-83.62
20230721T162530;set-ll;-90.0
20230721T162530;set-l;-88.0
20230721T162530;set-h;-72.0
20230721T162530;set-hh;-70.0
20230721T162531;pv;-83.62
20230721T162531;set-ll;-90.0
20230721T162531;set-l;-88.0
20230721T162531;set-h;-72.0
20230721T162531;set-hh;-70.0
20230721T162532;pv;-83.62
20230721T162532;set-ll;-90.0
20230721T162532;set-l;-88.0
20230721T162532;set-h;-72.0
20230721T162532;set-hh;-70.0
20230721T162534;pv;-83.62
20230721T162534;set-ll;-90.0
20230721T162534;set-l;-88.0
20230721T162534;set-h;-72.0
20230721T162534;set-hh;-70.0
20230721T162535;pv;-83.62
20230721T162535;set-ll;-90.0
20230721T162535;set-l;-88.0
20230721T162535;set-h;-72.0
20230721T162535;set-hh;-70.0
20230721T162536;pv;-83.62
20230721T162536;set-ll;-90.0
20230721T162536;set-l;-88.0
20230721T162536;set-h;-72.0
20230721T162536;set-hh;-70.0
20230721T162537;pv;-83.62
20230721T162537;set-ll;-90.0
20230721T162537;set-l;-88.0
20230721T162537;set-h;-72.0
20230721T162537;set-hh;-70.0
20230721T162538;pv;-83.62
20230721T162538;set-ll;-90.0
20230721T162538;set-l;-88.0
20230721T162538;set-h;-72.0
20230721T162538;set-hh;-70.0
20230721T162539;pv;-83.62
20230721T162539;set-ll;-90.0
20230721T162539;set-l;-88.0
20230721T162539;set-h;-72.0
20230721T162539;set-hh;-70.0
20230721T162540;pv;-83.62
20230721T162540;set-ll;-90.0
20230721T162540;set-l;-88.0
20230721T162540;set-h;-72.0
20230721T162540;set-hh;-70.0
20230721T162541;pv;-83.62
20230721T162541;set-ll;-90.0
20230721T162541;set-l;-88.0
20230721T162541;set-h;-72.0
20230721T162541;set-hh;-70.0
20230721T162542;pv;-83.62
20230721T162542;set-ll;-90.0
20230721T162542;set-l;-88.0
20230721T162542;set-h;-72.0
20230721T162542;set-hh;-70.0
20230721T162543;pv;-83.62
20230721T162543;set-ll;-90.0
20230721T162543;set-l;-88.0
20230721T162543;set-h;-72.0
20230721T162543;set-hh;-70.0
20230721T162544;pv;-83.62
20230721T162544;set-ll;-90.0
20230721T162544;set-l;-88.0
20230721T162544;set-h;-72.0
20230721T162544;set-hh;-70.0
20230721T162545;pv;-83.62
20230721T162545;set-ll;-90.0
20230721T162545;set-l;-88.0
20230721T162545;set-h;-72.0
20230721T162545;set-hh;-70.0
20230721T162546;pv;-83.62
20230721T162547;set-ll;-90.0
20230721T162547;set-l;-88.0
20230721T162547;set-h;-72.0
20230721T162547;set-hh;-70.0
20230721T162548;pv;-83.62
20230721T162548;set-ll;-90.0
20230721T162548;set-l;-88.0
20230721T162548;set-h;-72.0
20230721T162548;set-hh;-70.0
20230721T162549;pv;-83.62
20230721T162549;set-ll;-90.0
20230721T162549;set-l;-88.0
20230721T162549;set-h;-72.0
20230721T162549;set-hh;-70.0
20230721T162550;pv;-83.59
20230721T162550;set-ll;-90.0
20230721T162550;set-l;-88.0
20230721T162550;set-h;-72.0
20230721T162550;set-hh;-70.0
20230721T162551;pv;-83.62
20230721T162551;set-ll;-90.0
20230721T162551;set-l;-88.0
20230721T162551;set-h;-72.0
20230721T162551;set-hh;-70.0
20230721T162552;pv;-83.62
20230721T162552;set-ll;-90.0
20230721T162552;set-l;-88.0
20230721T162552;set-h;-72.0
20230721T162552;set-hh;-70.0
20230721T162553;pv;-83.62
20230721T162553;set-ll;-90.0
20230721T162553;set-l;-88.0
20230721T162553;set-h;-72.0
20230721T162553;set-hh;-70.0
20230721T162554;pv;-83.62
20230721T162554;set-ll;-90.0
20230721T162554;set-l;-88.0
20230721T162554;set-h;-72.0
20230721T162554;set-hh;-70.0
20230721T162555;pv;-83.62
20230721T162555;set-ll;-90.0
20230721T162555;set-l;-88.0
20230721T162555;set-h;-72.0
20230721T162555;set-hh;-70.0
20230721T162556;pv;-83.62
20230721T162556;set-ll;-90.0
20230721T162556;set-l;-88.0
20230721T162556;set-h;-72.0
20230721T162556;set-hh;-70.0
20230721T162557;pv;-83.62
20230721T162557;set-ll;-90.0
20230721T162557;set-l;-88.0
20230721T162557;set-h;-72.0
20230721T162557;set-hh;-70.0
20230721T162558;pv;-83.62
20230721T162558;set-ll;-90.0
20230721T162558;set-l;-88.0
20230721T162558;set-h;-72.0
20230721T162558;set-hh;-70.0
20230721T162559;pv;-83.62
20230721T162559;set-ll;-90.0
20230721T162600;set-l;-88.0
20230721T162600;set-h;-72.0
20230721T162600;set-hh;-70.0
20230721T162601;pv;-83.62
20230721T162601;set-ll;-90.0
20230721T162601;set-l;-88.0
20230721T162601;set-h;-72.0
20230721T162601;set-hh;-70.0
20230721T162602;pv;-83.62
20230721T162602;set-ll;-90.0
20230721T162602;set-l;-88.0
20230721T162602;set-h;-72.0
20230721T162602;set-hh;-70.0
20230721T162603;pv;-83.62
20230721T162603;set-ll;-90.0
20230721T162603;set-l;-88.0
20230721T162603;set-h;-72.0
20230721T162603;set-hh;-70.0
20230721T162604;pv;-83.62
20230721T162604;set-ll;-90.0
20230721T162604;set-l;-88.0
20230721T162604;set-h;-72.0
20230721T162604;set-hh;-70.0
20230721T162605;pv;-83.62
20230721T162605;set-ll;-90.0
20230721T162605;set-l;-88.0
20230721T162605;set-h;-72.0
20230721T162605;set-hh;-70.0
20230721T162606;pv;-83.62
20230721T162606;set-ll;-90.0
20230721T162606;set-l;-88.0
20230721T162606;set-h;-72.0
20230721T162606;set-hh;-70.0
20230721T162607;pv;-83.62
20230721T162607;set-ll;-90.0
20230721T162607;set-l;-88.0
20230721T162607;set-h;-72.0
20230721T162607;set-hh;-70.0
20230721T162608;pv;-83.62
20230721T162608;set-ll;-90.0
20230721T162608;set-l;-88.0
20230721T162608;set-h;-72.0
20230721T162608;set-hh;-70.0
20230721T162609;pv;-83.62
20230721T162609;set-ll;-90.0
20230721T162609;set-l;-88.0
20230721T162609;set-h;-72.0
20230721T162609;set-hh;-70.0
20230721T162610;pv;-83.62
20230721T162610;set-ll;-90.0
20230721T162610;set-l;-88.0
20230721T162610;set-h;-72.0
20230721T162611;set-hh;-70.0
20230721T162612;pv;-83.59
20230721T162612;set-ll;-90.0
20230721T162612;set-l;-88.0
20230721T162612;set-h;-72.0
20230721T162612;set-hh;-70.0
20230721T162613;pv;-83.62
20230721T162613;set-ll;-90.0
20230721T162613;set-l;-88.0
20230721T162613;set-h;-72.0
20230721T162613;set-hh;-70.0
20230721T162614;pv;-83.62
20230721T162614;set-ll;-90.0
20230721T162614;set-l;-88.0
20230721T162614;set-h;-72.0
20230721T162614;set-hh;-70.0
20230721T162615;pv;-83.59
20230721T162615;set-ll;-90.0
20230721T162615;set-l;-88.0
20230721T162615;set-h;-72.0
20230721T162615;set-hh;-70.0
20230721T162616;pv;-83.62
20230721T162616;set-ll;-90.0
20230721T162616;set-l;-88.0
20230721T162616;set-h;-72.0
20230721T162616;set-hh;-70.0
20230721T162617;pv;-83.62
20230721T162617;set-ll;-90.0
20230721T162617;set-l;-88.0
20230721T162617;set-h;-72.0
20230721T162617;set-hh;-70.0
20230721T162618;pv;-83.62
20230721T162618;set-ll;-90.0
20230721T162618;set-l;-88.0
20230721T162618;set-h;-72.0
20230721T162618;set-hh;-70.0
20230721T162619;pv;-83.62
20230721T162619;set-ll;-90.0
20230721T162619;set-l;-88.0
20230721T162619;set-h;-72.0
20230721T162619;set-hh;-70.0
20230721T162620;pv;-83.59
20230721T162620;set-ll;-90.0
20230721T162620;set-l;-88.0
20230721T162620;set-h;-72.0
20230721T162620;set-hh;-70.0
20230721T162621;pv;-83.62
20230721T162621;set-ll;-90.0
20230721T162621;set-l;-88.0
20230721T162621;set-h;-72.0
20230721T162621;set-hh;-70.0
20230721T162622;pv;-83.62
20230721T162622;set-ll;-90.0
20230721T162623;set-l;-88.0
20230721T162623;set-h;-72.0
20230721T162623;set-hh;-70.0
20230721T162624;pv;-83.59
20230721T162624;set-ll;-90.0
20230721T162624;set-l;-88.0
20230721T162624;set-h;-72.0
20230721T162624;set-hh;-70.0
20230721T162625;pv;-83.62
20230721T162625;set-ll;-90.0
20230721T162625;set-l;-88.0
20230721T162625;set-h;-72.0
20230721T162625;set-hh;-70.0
20230721T162626;pv;-83.62
20230721T162626;set-ll;-90.0
20230721T162626;set-l;-88.0
20230721T162626;set-h;-72.0
20230721T162626;set-hh;-70.0
20230721T162627;pv;-83.65
20230721T162627;set-ll;-90.0
20230721T162627;set-l;-88.0
20230721T162627;set-h;-72.0
20230721T162627;set-hh;-70.0
20230721T162628;pv;-83.59
20230721T162628;set-ll;-90.0
20230721T162628;set-l;-88.0
20230721T162628;set-h;-72.0
20230721T162628;set-hh;-70.0
20230721T162629;pv;-83.59
20230721T162629;set-ll;-90.0
20230721T162629;set-l;-88.0
20230721T162629;set-h;-72.0
20230721T162629;set-hh;-70.0
20230721T162630;pv;-83.62
20230721T162630;set-ll;-90.0
20230721T162630;set-l;-88.0
20230721T162630;set-h;-72.0
20230721T162630;set-hh;-70.0
20230721T162631;pv;-83.62
20230721T162631;set-ll;-90.0
20230721T162631;set-l;-88.0
20230721T162631;set-h;-72.0
20230721T162631;set-hh;-70.0
20230721T162632;pv;-83.62
20230721T162632;set-ll;-90.0
20230721T162632;set-l;-88.0
20230721T162632;set-h;-72.0
20230721T162632;set-hh;-70.0
20230721T162633;pv;-83.62
20230721T162633;set-ll;-90.0
20230721T162633;set-l;-88.0
20230721T162633;set-h;-72.0
20230721T162633;set-hh;-70.0
20230721T162635;pv;-83.62
20230721T162635;set-ll;-90.0
20230721T162635;set-l;-88.0
20230721T162635;set-h;-72.0
20230721T162635;set-hh;-70.0
20230721T162636;pv;-83.59
20230721T162636;set-ll;-90.0
20230721T162636;set-l;-88.0
20230721T162636;set-h;-72.0
20230721T162636;set-hh;-70.0
20230721T162637;pv;-83.62
20230721T162637;set-ll;-90.0
20230721T162637;set-l;-88.0
20230721T162637;set-h;-72.0
20230721T162637;set-hh;-70.0
20230721T162638;pv;-83.62
20230721T162638;set-ll;-90.0
20230721T162638;set-l;-88.0
20230721T162638;set-h;-72.0
20230721T162638;set-hh;-70.0
20230721T162639;pv;-83.62
20230721T162639;set-ll;-90.0
20230721T162639;set-l;-88.0
20230721T162639;set-h;-72.0
20230721T162639;set-hh;-70.0
20230721T162640;pv;-83.62
20230721T162640;set-ll;-90.0
20230721T162640;set-l;-88.0
20230721T162640;set-h;-72.0
20230721T162640;set-hh;-70.0
20230721T162641;pv;-83.62
20230721T162641;set-ll;-90.0
20230721T162641;set-l;-88.0
20230721T162641;set-h;-72.0
20230721T162641;set-hh;-70.0
20230721T162642;pv;-83.59
20230721T162642;set-ll;-90.0
20230721T162642;set-l;-88.0
20230721T162642;set-h;-72.0
20230721T162642;set-hh;-70.0
20230721T162643;pv;-83.62
20230721T162643;set-ll;-90.0
20230721T162643;set-l;-88.0
20230721T162643;set-h;-72.0
20230721T162643;set-hh;-70.0
20230721T162644;pv;-83.59
20230721T162644;set-ll;-90.0
20230721T162644;set-l;-88.0
20230721T162644;set-h;-72.0
20230721T162644;set-hh;-70.0
20230721T162645;pv;-83.59
20230721T162645;set-ll;-90.0
20230721T162645;set-l;-88.0
20230721T162645;set-h;-72.0
20230721T162645;set-hh;-70.0
20230721T162647;pv;-83.62
20230721T162647;set-ll;-90.0
20230721T162647;set-l;-88.0
20230721T162647;set-h;-72.0
20230721T162647;set-hh;-70.0
20230721T162648;pv;-83.59
20230721T162648;set-ll;-90.0
20230721T162648;set-l;-88.0
20230721T162648;set-h;-72.0
20230721T162648;set-hh;-70.0
20230721T162649;pv;-83.59
20230721T162649;set-ll;-90.0
20230721T162649;set-l;-88.0
20230721T162649;set-h;-72.0
20230721T162649;set-hh;-70.0
20230721T162650;pv;-83.62
20230721T162650;set-ll;-90.0
20230721T162650;set-l;-88.0
20230721T162650;set-h;-72.0
20230721T162650;set-hh;-70.0
20230721T162651;pv;-83.62
20230721T162651;set-ll;-90.0
20230721T162651;set-l;-88.0
20230721T162651;set-h;-72.0
20230721T162651;set-hh;-70.0
20230721T162652;pv;-83.62
20230721T162652;set-ll;-90.0
20230721T162652;set-l;-88.0
20230721T162652;set-h;-72.0
20230721T162652;set-hh;-70.0
20230721T162653;pv;-83.59
20230721T162653;set-ll;-90.0
20230721T162653;set-l;-88.0
20230721T162653;set-h;-72.0
20230721T162653;set-hh;-70.0
20230721T162654;pv;-83.62
20230721T162654;set-ll;-90.0
20230721T162654;set-l;-88.0
20230721T162654;set-h;-72.0
20230721T162654;set-hh;-70.0
20230721T162655;pv;-83.62
20230721T162655;set-ll;-90.0
20230721T162655;set-l;-88.0
20230721T162655;set-h;-72.0
20230721T162655;set-hh;-70.0
20230721T162656;pv;-83.62
20230721T162656;set-ll;-90.0
20230721T162656;set-l;-88.0
20230721T162656;set-h;-72.0
20230721T162656;set-hh;-70.0
20230721T162658;pv;-83.62
20230721T162658;set-ll;-90.0
20230721T162658;set-l;-88.0
20230721T162658;set-h;-72.0
20230721T162658;set-hh;-70.0
20230721T162659;pv;-83.62
20230721T162659;set-ll;-90.0
20230721T162659;set-l;-88.0
20230721T162659;set-h;-72.0
20230721T162659;set-hh;-70.0
20230721T162700;pv;-83.62
20230721T162700;set-ll;-90.0
20230721T162700;set-l;-88.0
20230721T162700;set-h;-72.0
20230721T162700;set-hh;-70.0
20230721T162701;pv;-83.59
20230721T162701;set-ll;-90.0
20230721T162701;set-l;-88.0
20230721T162701;set-h;-72.0
20230721T162701;set-hh;-70.0
20230721T162702;pv;-83.59
20230721T162702;set-ll;-90.0
20230721T162702;set-l;-88.0
20230721T162702;set-h;-72.0
20230721T162702;set-hh;-70.0
20230721T162703;pv;-83.62
20230721T162703;set-ll;-90.0
